product_name,product_price,product_brand,product_link
Taladro Percutor 1/2 Black&Decker HD555 550W,$30.070,Black&Decker,https://herramientas.cl/ficha/583139/taladro-percutor-12-black-decker-hd555-550w
VENTA ESPECIAL TALADRO GSB 550 RE CARTON + 14 BROCAS BOSCH,,Bosch,https://herramientas.cl/ficha/586135/venta-especial-taladro-gsb-550-re-carton-14-brocas-bosch
Taladro Percutor 1/2 Pulg Bosch GSB 13 RE 650 W + MALETA+ 5 Brocas,,Bosch,https://herramientas.cl/ficha/599720/taladro-percutor-12-pulg-bosch-gsb-13-re-650-w-maleta-5-brocas
Taladro de Impacto Bosch GSB 13 RE 600 W,,Bosch,https://herramientas.cl/ficha/610962/taladro-de-impacto-bosch-gsb-13-re-600-w
Taladro 6016 Makita,$291.260,Makita,https://herramientas.cl/ficha/575578/taladro-6016-makita
TALADRO PERCUTOR 13MM 600W 631013 Itaka,$46.600,Itaka,https://herramientas.cl/ficha/597896/taladro-percutor-13mm-600w-631013-itaka
Taladro eléctrico Bosch GBM 1600 RE 850W,,Bosch,https://herramientas.cl/ficha/586461/taladro-electrico-bosch-gbm-1600-re-850w
Taladro Reversible Makita DS5000 750 W,$224.920,Makita,https://herramientas.cl/ficha/575579/taladro-reversible-makita-ds5000-750-w
Taladro Reversible Makita 6407 530 W,$125.720,Makita,https://herramientas.cl/ficha/575580/taladro-reversible-makita-6407-530-w
Taladro de Impacto Bosch GSB 20-2 RE 800W,,Bosch,https://herramientas.cl/ficha/577684/taladro-de-impacto-bosch-gsb-20-2-re-800w
Taladro de impacto Bosch GSB 20-2 RE 800 W,,Bosch,https://herramientas.cl/ficha/577685/taladro-de-impacto-bosch-gsb-20-2-re-800-w
Taladro de impacto Bosch GSB-13 RE 650W,,Bosch,https://herramientas.cl/ficha/586465/taladro-de-impacto-bosch-gsb-13-re-650w
Taladro Reversible Makita 6413 450 W,$58.870,Makita,https://herramientas.cl/ficha/575582/taladro-reversible-makita-6413-450-w
Taladro Percusión Makita HP1630K 3.200 rpm,$55.530,Makita,https://herramientas.cl/ficha/575583/taladro-percusion-makita-hp1630k-3200-rpm
Taladro de impacto Bosch GSB 550 RE 550W,,Bosch,https://herramientas.cl/ficha/601158/taladro-de-impacto-bosch-gsb-550-re-550w
Taladro de Percusión Makita HP1640 760 W,$69.670,Makita,https://herramientas.cl/ficha/575585/taladro-de-percusion-makita-hp1640-760-w
Taladro Impacto Dongcheng DZJ03-13 500W,$43.340,Dongcheng,https://herramientas.cl/ficha/599617/taladro-impacto-dongcheng-dzj03-13-500w
Taladro Rotación Dewalt DWD014 10mm (3/8),$47.260,Dewalt,https://herramientas.cl/ficha/578053/taladro-rotacion-dewalt-dwd014-10mm-38
Taladro de Percusión Makita HP1640K 760W,$78.830,Makita,https://herramientas.cl/ficha/575587/taladro-de-percusion-makita-hp1640k-760w
Taladro Percutor Dongcheng DZJ04-13,$68.160,Dongcheng,https://herramientas.cl/ficha/599618/taladro-percutor-dongcheng-dzj04-13-
Taladro de Percusion Stanley SDH700K 1/2 700 Watts,$49.000,Stanley,https://herramientas.cl/ficha/589137/taladro-de-percusion-stanley-sdh700k-12-700-watts
Taladro Angular Reversible Makita DA4000LR 900 rpm,$440.670,Makita,https://herramientas.cl/ficha/575588/taladro-angular-reversible-makita-da4000lr-900-rpm
Taldro Percutor Uyustools DZJ16 500W,$39.820,Uyustools,https://herramientas.cl/ficha/599619/taldro-percutor-uyustools-dzj16-500w
Taladro Percutor Wesco WS3174 13mm 750W,$32.560,Wesco,https://herramientas.cl/ficha/611573/taladro-percutor-wesco-ws3174-13mm-750w
Taladro Reversible Makita DP2010 4200 rpm,$62.020,Makita,https://herramientas.cl/ficha/575589/taladro-reversible-makita-dp2010-4200-rpm
Taladro Percutor Dongcheng DZJ13 500w,$41.930,Dongcheng,https://herramientas.cl/ficha/605787/taladro-percutor-dongcheng-dzj13-500w
