product_family,product_name,product_price,product_brand,product_link
Herramientas Electricas,DEMOLEDOR HEXAGONAL Max 1304 15KG 1500W,294740,Max,https://herramientas.cl/ficha/594326/demoledor-hexagonal-max-1304-15kg-1500w
Herramientas Electricas,Batidor de Pintura Einhell TC MX 1100-E 2 Mangos,46900,Einhell,https://herramientas.cl/ficha/587729/batidor-de-pintura-einhell-tc-mx-1100-e-2-mangos
Herramientas Electricas,Ensambladora Einhell TC-BJ 900 860 W,65700,Einhell,https://herramientas.cl/ficha/598109/ensambladora-einhell-tc-bj-900-860-w
Herramientas Electricas,Martillo Demoledor Bosch GSH 11 VC 1.700W,911060,Bosch,https://herramientas.cl/ficha/575038/martillo-demoledor-bosch-gsh-11-vc-1700w
Herramientas Electricas,Cortadora de concreto angular 14 Makita 4114S 355mm,642790,Makita,https://herramientas.cl/ficha/575717/cortadora-de-concreto-angular-14-makita-4114s-355mm
Herramientas Electricas,Pulidora Angular Skil 9071 180mm 1.300W,92530,Skil,https://herramientas.cl/ficha/600134/pulidora-angular-skil-9071-180mm-1300w
Herramientas Electricas,Lijadora de Banda Makita-Mt M9400G 940 W,155710,Makita-Mt,https://herramientas.cl/ficha/591970/lijadora-de-banda-makita-mt-m9400g-940-w
Herramientas Electricas,Taladro Percutor Makita MHP131 13mm,42990,Makita,https://herramientas.cl/ficha/576046/taladro-percutor-makita-mhp131-13mm
Herramientas Electricas,Taladro de Percusión Reversible Makita MHP161K 13mm,60630,Makita,https://herramientas.cl/ficha/575884/taladro-de-percusion-reversible-makita-mhp161k-13mm
Instrumentos de Medición,Detector de Corriente KWB 49011620 Madera/ Metal,16652,KWB,https://herramientas.cl/ficha/588960/detector-de-corriente-kwb-49011620-madera-metal
Instrumentos de Medición,Medidor de Distancia Láser Einhell TC-LD 50 0.05m - 50m.,55000,Einhell,https://herramientas.cl/ficha/588450/medidor-de-distancia-laser-einhell-tc-ld-50-005m-50m
Instrumentos de Medición,Nivelador Láser Einhell TE-LL 360 20 m,88300,Einhell,https://herramientas.cl/ficha/586191/nivelador-laser-einhell-te-ll-360-20-m
Instrumentos de Medición,Detector Digital Einhell TC-MD 50 50 mm,21490,Einhell,https://herramientas.cl/ficha/586185/detector-digital-einhell-tc-md-50-50-mm
Instrumentos de Medición,Pie de Metro Total TMT311501 150mm,11600,Total,https://herramientas.cl/ficha/614513/pie-de-metro-total-tmt311501-150mm
Instrumentos de Medición,Nivel de Aluminio Total TMT2606 60cm (3 Aguas),8550,Total,https://herramientas.cl/ficha/614507/nivel-de-aluminio-total-tmt2606-60cm-3-aguas
Instrumentos de Medición,Nivel de Aluminio Total TMT26016 60cm (3 Aguas),3940,Total,https://herramientas.cl/ficha/614505/nivel-de-aluminio-total-tmt26016-60cm-3-aguas
Instrumentos de Medición,Nivel de Aluminio Total TMT2306 30cm (3 Aguas),5580,Total,https://herramientas.cl/ficha/614501/nivel-de-aluminio-total-tmt2306-30cm-3-aguas
Instrumentos de Medición,Nivel Torpedo Total TMT2235 225mm,1860,Total,https://herramientas.cl/ficha/614499/nivel-torpedo-total-tmt2235-225mm
Instrumentos de Medición,Nivel de Aluminio Total TMT21206 120cm (3 Aguas),13760,Total,https://herramientas.cl/ficha/614497/nivel-de-aluminio-total-tmt21206-120cm-3-aguas
Instrumentos de Medición,Nivel de Aluminio Total TMT21006 100cm (3 Aguas),10930,Total,https://herramientas.cl/ficha/614495/nivel-de-aluminio-total-tmt21006-100cm-3-aguas
Instrumentos de Medición,Nivel De Aluminio Total TMT210016 100cm (3 Aguas),5910,Total,https://herramientas.cl/ficha/614493/nivel-de-aluminio-total-tmt210016-100cm-3-aguas
Herramientas Manuales,Guillotina para Parquet EDMA Laminocut2,30000,EDMA,https://herramientas.cl/ficha/588091/guillotina-para-parquet-edma-laminocut2-
Herramientas Manuales,Set de Gubias Einhell 4311200 5 Piezas,17900,Einhell,https://herramientas.cl/ficha/577344/set-de-gubias-einhell-4311200-5-piezas
Herramientas Manuales,Cuchillo de Seguridad Einhell 15200 Auto Retráctil,7950,Einhell,https://herramientas.cl/ficha/577662/cuchillo-de-seguridad-einhell-15200-auto-retractil
Herramientas Manuales,Cuchillo Plegable KWB 15300 Para Recortar,10750,KWB,https://herramientas.cl/ficha/577663/cuchillo-plegable-kwb-15300-para-recortar
Herramientas Manuales,Cuchillo KWB 15500 9mm,1579,KWB,https://herramientas.cl/ficha/577659/cuchillo-kwb-15500-9mm
Herramientas Manuales,Cuchillas de Recambio KWB 24700 3 hojas Para Cuchillo Aisue,5750,KWB,https://herramientas.cl/ficha/577667/cuchillas-de-recambio-kwb-24700-3-hojas-para-cuchillo-aisue
Herramientas Manuales,Cuchillas de Recambio KWB 24720 3 hojas Para Cuchillo Autoa,5750,KWB,https://herramientas.cl/ficha/577666/cuchillas-de-recambio-kwb-24720-3-hojas-para-cuchillo-autoa
Herramientas Manuales,Engrapadora Metal KWB MT 10 6-10mm,19900,KWB,https://herramientas.cl/ficha/582405/engrapadora-metal-kwb-mt-10-6-10mm
Herramientas Manuales,Engrapadora Metal KWB 49053416 Grapas 4-16mm/Clavos hasta 16mm,27720,KWB,https://herramientas.cl/ficha/588479/engrapadora-metal-kwb-49053416-grapas-4-16mmclavos-hasta-16mm
Herramientas Manuales,Cuchillo Cartonero Makita D-58855 Incluye 8 hojas,4380,Makita,https://herramientas.cl/ficha/600097/cuchillo-cartonero-makita-d-58855-incluye-8-hojas
Herramientas Manuales,Destornillador Doble Color Uyustools 6 Pulgadas x 6mm,13570,Uyustools,https://herramientas.cl/ficha/591514/destornillador-doble-color-uyustools-6-pulgadas-x-6mm
Herramientas Manuales,Llave Crique Desacople Rápido SATA GL13901EM 1/2 Pulgada,8030,SATA,https://herramientas.cl/ficha/587622/llave-crique-desacople-rapido-sata-gl13901em-12-pulgada
Linea Neumatica,Lijadora Orbital Total TF2041501 450 W,44160,Total,https://herramientas.cl/ficha/614439/lijadora-orbital-total-tf2041501-450-w
Linea Neumatica,Lijadora Orbital Total TF2231106 110 x 100 MM | 240 W,35920,Total,https://herramientas.cl/ficha/614437/lijadora-orbital-total-tf2231106-110-x-100-mm-240-w
Linea Neumatica,Pistola Infladora de Neumáticos Total TAT11601 12 Bar,11150,Total,https://herramientas.cl/ficha/614526/pistola-infladora-de-neumaticos-total-tat11601-12-bar
Herramientas Inalámbricas,Taladro Recargable Uyustools TLR18L 18Nm Litio 18V,99440,Uyustools,https://herramientas.cl/ficha/590657/taladro-recargable-uyustools-tlr18l-18nm-litio-18v
Linea Neumatica,Pistola para Pintar Total TAT10601 600 cc,22310,Total,https://herramientas.cl/ficha/614524/pistola-para-pintar-total-tat10601-600-cc
