product_name,product_price,product_brand,product_link
Esmeril Angular 4-1/2 Milwaukee AG750 750W,55760,Milwaukee,https://herramientas.cl/ficha/603723/esmeril-angular-4-12-milwaukee-ag750-750w
Taladro Atornilllador Dewalt DCD777F2 20 V,209900,Dewalt,https://herramientas.cl/ficha/611722/taladro-atornilllador-dewalt-dcd777f2-20-v
Cepillo Eléctrico Einhell TE-PL 900,74900,Einhell,https://herramientas.cl/ficha/614013/cepillo-electrico-einhell-te-pl-900-
Pulidora 7 Pulgadas Gladiator LP 818/2/220 1600W,59826,Gladiator,https://herramientas.cl/ficha/614177/pulidora-7-pulgadas-gladiator-lp-8182220-1600w
Cautin Pistola Soldador Gladiator SE 720K 150W,16547,Gladiator,https://herramientas.cl/ficha/614179/cautin-pistola-soldador-gladiator-se-720k-150w
Mezclador de Pintura Gladiator MX 800 1400W,75498,Gladiator,https://herramientas.cl/ficha/614180/mezclador-de-pintura-gladiator-mx-800-1400w
Llave de Impacto Total TIW10101 1/2 Pulgadas,100180,Total,https://herramientas.cl/ficha/614519/llave-de-impacto-total-tiw10101-12-pulgadas
Martillo de Demolición + 2 Cinceles Total TH217506 1700 W,316240,Total,https://herramientas.cl/ficha/614469/martillo-de-demolicion-2-cinceles-total-th217506-1700-w
Martillo de Demolicion + 2 Cinceles Total TH215456 1700 W,193380,Total,https://herramientas.cl/ficha/614468/martillo-de-demolicion-2-cinceles-total-th215456-1700-w
Juego de Herramientas + Taladro de Impacto Total THKTHP1012 101 piezas,63590,Total,https://herramientas.cl/ficha/614410/juego-de-herramientas-taladro-de-impacto-total-thkthp1012-101-piezas
Pulidora Angular Total TP1141806 7 Pulgadas 1400W,53460,Total,https://herramientas.cl/ficha/614541/pulidora-angular-total-tp1141806-7-pulgadas-1400w
Rotomartillo SDS-PLUS Total TH308266 800W,77120,Total,https://herramientas.cl/ficha/614546/rotomartillo-sds-plus-total-th308266-800w
Rotomartillo Sds Plus Total TH1153216 1500W,96990,Total,https://herramientas.cl/ficha/614550/rotomartillo-sds-plus-total-th1153216-1500w
Fresadora Total TR11122 2200 W,105980,Total,https://herramientas.cl/ficha/614552/fresadora-total-tr11122-2200-w
Sierra Caladora Total TS2081006 800W,53400,Total,https://herramientas.cl/ficha/614579/sierra-caladora-total-ts2081006-800w
Sierra Circular Total TS1161856 185mm 1600W,79510,Total,https://herramientas.cl/ficha/614582/sierra-circular-total-ts1161856-185mm-1600w
Sierra Circular 7-1/4 Pulgadas Total TS1141856 1400 W,70360,Total,https://herramientas.cl/ficha/614583/sierra-circular-7-14-pulgadas-total-ts1141856-1400-w
Sierra Circular 7-1/4 Pulgadas Total TS1121856 1200W,64860,Total,https://herramientas.cl/ficha/614584/sierra-circular-7-14-pulgadas-total-ts1121856-1200w
Sierra Circular 235mm Total TS1222356 2200W,133210,Total,https://herramientas.cl/ficha/614585/sierra-circular-235mm-total-ts1222356-2200w
Cortadora De Marmol 110mm Total TS3141102 1400 W,56230,Total,https://herramientas.cl/ficha/614587/cortadora-de-marmol-110mm-total-ts3141102-1400-w
Taladro de Pedestal Total TDP133501 350 W,118930,Total,https://herramientas.cl/ficha/614607/taladro-de-pedestal-total-tdp133501-350-w
Martillo Cincelador Total TH213006 1300 W,119070,Total,https://herramientas.cl/ficha/614609/martillo-cincelador-total-th213006-1300-w
Demoledor + 2 Cinceles Total TH215002 1500 W,260240,Total,https://herramientas.cl/ficha/614610/demoledor-2-cinceles-total-th215002-1500-w
Llave de Impacto Neumática Total TAT40111 1 pulgada,252350,Total,https://herramientas.cl/ficha/614611/llave-de-impacto-neumatica-total-tat40111-1-pulgada
Taladro Percutor Total TG111136 1010 W,54070,Total,https://herramientas.cl/ficha/614613/taladro-percutor-total-tg111136-1010-w
Taladro Percutor Total TG1061336 650 W,29680,Total,https://herramientas.cl/ficha/614615/taladro-percutor-total-tg1061336-650-w
Taladro de Impacto Total TG108136 750 W,35110,Total,https://herramientas.cl/ficha/614616/taladro-de-impacto-total-tg108136-750-w
Sierra circular inalámbrica 165mm Makita DSP601Z 18V,332840,Makita,https://herramientas.cl/ficha/599612/sierra-circular-inalambrica-165mm-makita-dsp601z-18v
Esmeril Angular 4 1/2 Total TG1081156 800 W,37040,Total,https://herramientas.cl/ficha/614334/esmeril-angular-4-12-total-tg1081156-800-w
Esmeril Angular 5 Total TG1101256 950 W,32730,Total,https://herramientas.cl/ficha/614337/esmeril-angular-5-total-tg1101256-950-w
Esmeril Angular 9 Total TG1252306 2400 W,93120,Total,https://herramientas.cl/ficha/614340/esmeril-angular-9-total-tg1252306-2400-w
Cautin Lapiz 60W Total TET1606,6690,Total,https://herramientas.cl/ficha/614243/cautin-lapiz-60w-total-tet1606-
Esmeril Angular 9 Total TG1302306 3000 W,129190,Total,https://herramientas.cl/ficha/614341/esmeril-angular-9-total-tg1302306-3000-w
Ensambladora para Madera Total TS70906 950 W,79280,Total,https://herramientas.cl/ficha/614331/ensambladora-para-madera-total-ts70906-950-w
Esmeril Angular 5 Pulgadas Total TG1262306 2600 W,58080,Total,https://herramientas.cl/ficha/614338/esmeril-angular-5-pulgadas-total-tg1262306-2600-w
Esmeril Angular Total TG1251806 7 Pulgadas,93120,Total,https://herramientas.cl/ficha/614339/esmeril-angular-total-tg1251806-7-pulgadas
Cautin Lapiz 40W Total TET1406,5800,Total,https://herramientas.cl/ficha/614242/cautin-lapiz-40w-total-tet1406-
Cautin Lapiz 60W Cabeza Plana Total TET2606,6990,Total,https://herramientas.cl/ficha/614244/cautin-lapiz-60w-cabeza-plana-total-tet2606-
Pistola De Calor Total TB1206 2000W,21940,Total,https://herramientas.cl/ficha/614518/pistola-de-calor-total-tb1206-2000w
Rotomartillo Sds Plus Total TH115326 1500W,103310,Total,https://herramientas.cl/ficha/614549/rotomartillo-sds-plus-total-th115326-1500w
Rotomartillo Sds Plus Total TH118366 1800W,109030,Total,https://herramientas.cl/ficha/614551/rotomartillo-sds-plus-total-th118366-1800w
Cortadora de Concreto Total TWLC1256 1500W,138040,Total,https://herramientas.cl/ficha/614586/cortadora-de-concreto-total-twlc1256-1500w
Rotomartillo Inalámbrico Total TRHLI1601 20 V,67240,Total,https://herramientas.cl/ficha/614624/rotomartillo-inalambrico-total-trhli1601-20-v
Atornillador de Tabiqueria + Autoalimentador Makita FS4000JX2 570W,172900,Makita,https://herramientas.cl/ficha/614697/atornillador-de-tabiqueria-autoalimentador-makita-fs4000jx2-570w
Taladro Percutor Einhell TC-ID 650 E 650W,25900,Einhell,https://herramientas.cl/ficha/614175/taladro-percutor-einhell-tc-id-650-e-650w
Equipo de pintar 1000 l/min ENERGY AS10/2/220 450W,35859,ENERGY,https://herramientas.cl/ficha/614842/equipo-de-pintar-1000-lmin-energy-as102220-450w
Equipo de pintar Gladiator HV 6700 360W,38708,Gladiator,https://herramientas.cl/ficha/614843/equipo-de-pintar-gladiator-hv-6700-360w
Equipo de pintar Gladiator HV 8800 600W,62592,Gladiator,https://herramientas.cl/ficha/614844/equipo-de-pintar-gladiator-hv-8800-600w
ATORNILLADOR DRYWALL 1/4 600W AE 614,43316,Gladiator,https://herramientas.cl/ficha/615086/atornillador-drywall-14-600w-ae-614
Cepillo Electrico NEO GG911 1050W,73654,NEO,https://herramientas.cl/ficha/615087/cepillo-electrico-neo-gg911-1050w
Esmeril Angular ENERGY AG180/1 7,55218,ENERGY,https://herramientas.cl/ficha/615089/esmeril-angular-energy-ag1801-7
Esmeril Angular ENERGY AG 15/3/220 4 1/2,18428,ENERGY,https://herramientas.cl/ficha/615090/esmeril-angular-energy-ag-153220-4-12
Esmeril Angular Gladiator AA 718/3 7,60749,Gladiator,https://herramientas.cl/ficha/615091/esmeril-angular-gladiator-aa-7183-7
Esmeril Angular Gladiator AA 615/5/220 4 1/2,22190,Gladiator,https://herramientas.cl/ficha/615092/esmeril-angular-gladiator-aa-6155220-4-12
Esmeril angular Gladiator AA 615/5/220 PLUS 4 1/2,29047,Gladiator,https://herramientas.cl/ficha/615095/esmeril-angular-gladiator-aa-6155220-plus-4-12
Esmeril Angular NEO AA 1218 7,128963,NEO,https://herramientas.cl/ficha/615096/esmeril-angular-neo-aa-1218-7
KIT HERRAMIENTA MULTIPROPOSITO 280W MU 800/1K,50065,Gladiator,https://herramientas.cl/ficha/615101/kit-herramienta-multiproposito-280w-mu-8001k
Kit Accesorios Herramienta Multipropósito Gladiator KMU 800,18806,Gladiator,https://herramientas.cl/ficha/615102/kit-accesorios-herramienta-multiproposito-gladiator-kmu-800-
Kit Herramienta Multipropósito Gladiator MT600/220K 135W,28577,Gladiator,https://herramientas.cl/ficha/615103/kit-herramienta-multiproposito-gladiator-mt600220k-135w
Lijadora de banda Gladiator LB 600 800W,48765,Gladiator,https://herramientas.cl/ficha/615104/lijadora-de-banda-gladiator-lb-600-800w
Lijadora Orbital Gladiator LO 700 90x187mm,27656,Gladiator,https://herramientas.cl/ficha/615105/lijadora-orbital-gladiator-lo-700-90x187mm
Pulidora NEO LP 1018/4/220 7,67201,NEO,https://herramientas.cl/ficha/615106/pulidora-neo-lp-10184220-7
Lijadora roto orbital NEO LR 905 300W,45170,NEO,https://herramientas.cl/ficha/615107/lijadora-roto-orbital-neo-lr-905-300w
Pistola de calor ENERGY HG10 2000W,15915,ENERGY,https://herramientas.cl/ficha/615108/pistola-de-calor-energy-hg10-2000w
Pistola de calor NEO PC 1060/2K 2000W,45585,NEO,https://herramientas.cl/ficha/615109/pistola-de-calor-neo-pc-10602k-2000w
Rebajadora Gladiator RR 714/1 1/4,61762,Gladiator,https://herramientas.cl/ficha/615110/rebajadora-gladiator-rr-7141-14
Rebajadora NEO RR 1012/3 1/4,84808,NEO,https://herramientas.cl/ficha/615111/rebajadora-neo-rr-10123-14
Rotomartillo SDS Plus Gladiator RM 832 K 32mm,101401,Gladiator,https://herramientas.cl/ficha/615112/rotomartillo-sds-plus-gladiator-rm-832-k-32mm
Rotomartillo Inalámbrico 2 Baterías Gladiator RM 812/18 K2 16mm,112740,Gladiator,https://herramientas.cl/ficha/615114/rotomartillo-inalambrico-2-baterias-gladiator-rm-81218-k2-16mm
Rotomartillo SDS Plus NEO RM 1222 22mm,143253,NEO,https://herramientas.cl/ficha/615115/rotomartillo-sds-plus-neo-rm-1222-22mm
Rotomartillo NEO RM 952 K 1500W,267331,NEO,https://herramientas.cl/ficha/615116/rotomartillo-neo-rm-952-k-1500w
Martillo demoledor NEO MD 1011K 1100W,135417,NEO,https://herramientas.cl/ficha/615117/martillo-demoledor-neo-md-1011k-1100w
Rotomartillo SDS Max NEO RM 1238/220K 1100W,184275,NEO,https://herramientas.cl/ficha/615118/rotomartillo-sds-max-neo-rm-1238220k-1100w
Sierra circular ENERGY W185 7 1/4,41482,ENERGY,https://herramientas.cl/ficha/615119/sierra-circular-energy-w185-7-14
Sierra Caladora ENERGY JS10 400W,22954,ENERGY,https://herramientas.cl/ficha/615120/sierra-caladora-energy-js10-400w
Cortadora de cerámica ENERGY SM600 1200W,36780,ENERGY,https://herramientas.cl/ficha/615121/cortadora-de-ceramica-energy-sm600-1200w
Sierra caladora Gladiator SK670/1 220V,34265,Gladiator,https://herramientas.cl/ficha/615122/sierra-caladora-gladiator-sk6701-220v
Sierra Caladora Gladiator SK 455/1 1500W,25350,Gladiator,https://herramientas.cl/ficha/615123/sierra-caladora-gladiator-sk-4551-1500w
Sierra circular Gladiator SC 507/220 1400W,55310,Gladiator,https://herramientas.cl/ficha/615124/sierra-circular-gladiator-sc-507220-1400w
Cortadora de ceramica NEO CC1010 1300W,73654,NEO,https://herramientas.cl/ficha/615126/cortadora-de-ceramica-neo-cc1010-1300w
Sierra Multripropósito NEO SCP 1043,69046,NEO,https://herramientas.cl/ficha/615127/sierra-multriproposito-neo-scp-1043-
Sierra Caladora NEO SK 1080/2 800W,50701,NEO,https://herramientas.cl/ficha/615128/sierra-caladora-neo-sk-10802-800w
Sierra Cortadora de cerámica NEO CC 908/220/50 1300W,300425,NEO,https://herramientas.cl/ficha/615129/sierra-cortadora-de-ceramica-neo-cc-90822050-1300w
Taladro Percutor Gladiator TP 713/2 13mm,32172,Gladiator,https://herramientas.cl/ficha/615130/taladro-percutor-gladiator-tp-7132-13mm
Taladro Atornillador con control de torque ENERGY ED 10 10mm,21110,ENERGY,https://herramientas.cl/ficha/615131/taladro-atornillador-con-control-de-torque-energy-ed-10-10mm
Taladro Percutor ENERGY ID13/2/220 13mm,25220,ENERGY,https://herramientas.cl/ficha/615132/taladro-percutor-energy-id132220-13mm
Kit Taladro Percutor ENERGY ID13/2/220/K 13mm,27646,ENERGY,https://herramientas.cl/ficha/615133/kit-taladro-percutor-energy-id132220k-13mm
Taladro Percutor Gladiator TP 413/6/220 13mm,24429,Gladiator,https://herramientas.cl/ficha/615135/taladro-percutor-gladiator-tp-4136220-13mm
Kit Taladro Percutor con 72 Accesorios Gladiator TP 413/6/220 K 13mm,49872,Gladiator,https://herramientas.cl/ficha/615136/kit-taladro-percutor-con-72-accesorios-gladiator-tp-4136220-k-13mm
Taladro Percutor NEO TP913/4 13mm,57062,NEO,https://herramientas.cl/ficha/615137/taladro-percutor-neo-tp9134-13mm
Taladro percutor NEO TP 1013/2 13mm,60749,NEO,https://herramientas.cl/ficha/615138/taladro-percutor-neo-tp-10132-13mm
Cepillo eléctrico Gladiator GG882/1 800W,51831,Gladiator,https://herramientas.cl/ficha/611280/cepillo-electrico-gladiator-gg8821-800w
KIT TALADRO PERCUTOR 13 MM TP 513 + ESMERIL 4 1/2,46000,Gladiator,https://herramientas.cl/ficha/615134/kit-taladro-percutor-13-mm-tp-513-esmeril-4-12
Fresadora de Cantos Bosch GKF 550 550W,73710,Bosch,https://herramientas.cl/ficha/601167/fresadora-de-cantos-bosch-gkf-550-550w
Rotomartillo SDS MAX Gladiator RM 840/2/220K 40mm,138275,Gladiator,https://herramientas.cl/ficha/615113/rotomartillo-sds-max-gladiator-rm-8402220k-40mm
Esmeril angular inalámbrico W 18 LTX 125 Quick Metabo,349900,METABO,https://herramientas.cl/ficha/589257/esmeril-angular-inalambrico-w-18-ltx-125-quick-metabo
ROTOMARTILLO SDSPLUS 3.3KG 800W 26MM MOD.H26F-3,74540,Max,https://herramientas.cl/ficha/594323/rotomartillo-sdsplus-33kg-800w-26mm-modh26f-3
Cepillo Bosch GHO 700 700 W,107010,Bosch,https://herramientas.cl/ficha/612995/cepillo-bosch-gho-700-700-w
Pistola de Aire Caliente Makita HG6530V 2.000 W,112800,Makita,https://herramientas.cl/ficha/615834/pistola-de-aire-caliente-makita-hg6530v-2000-w
Pistola de Aire Caliente Makita HG6530VK 2.000 W Con Boquillas,140800,Makita,https://herramientas.cl/ficha/615833/pistola-de-aire-caliente-makita-hg6530vk-2000-w-con-boquillas
Pulidora Angular 1300W + Caja Portaherramientas 16 Pulg Stanley,99900,Stanley,https://herramientas.cl/ficha/613348/pulidora-angular-1300w-caja-portaherramientas-16-pulg-stanley-
Esmeril Angular Makita GA4530 11.000 rpm,46000,Makita,https://herramientas.cl/ficha/575682/esmeril-angular-makita-ga4530-11000-rpm
Lijadora Orbital 190W. MAKITA-MT M9203G Makita-Mt M9203G,52370,Makita-Mt,https://herramientas.cl/ficha/591968/lijadora-orbital-190w-makita-mt-m9203g-makita-mt-m9203g
LIJADORA ORBITAL DE AIRE 91*167 TW-UYUSTOOLS,41220,Uyustools,https://herramientas.cl/ficha/587135/lijadora-orbital-de-aire-91167-tw-uyustools
KIT ATORNILLADOR 1/4 AT4050AK 10PZA PUMA,108140,Isesa,https://herramientas.cl/ficha/600468/kit-atornillador-14-at4050ak-10pza-puma
Esmeril Black&Decker BDEG820 820 W,22270,Black&Decker,https://herramientas.cl/ficha/611306/esmeril-black-decker-bdeg820-820-w
MARTILLO PERFORADOR DEMOLEDOR Bosch GBH 4-32 DFR,401540,Bosch,https://herramientas.cl/ficha/575029/martillo-perforador-demoledor-bosch-gbh-4-32-dfr-
