product_brand,product_name,product_price,product_link
Bosch Herramientas,"Kit Cyberday Esmeril Angular 4 ½” GWS 7-115 + 5 Discos Corte Recto 4 1/2""x7/8"" Bosch 0601.394.0E0-000",57440,https://www.toolmania.cl/esmeriles/kit-cyberday-esmeril-angular-4-gws-7-115disco-corte-recto-4-1-2x7-8-bosch-06013940e0-000-6267.html
Bosch Herramientas,"Kit Cyberday Esmeril Angular 4 1/2"" GWS 7-115 TE + 5 Discos Corte Recto 4 1/2"" Bosch 0601.388.5N1-000",58440,https://www.toolmania.cl/esmeriles/kit-cyberday-esmeril-angular-4-1-2-gws-7-115-tedisco-corte-recto-4-1-2-bosch-06013885n1-000-6268.html
Bosch Herramientas,"Kit Cyberday Esmeril Angular 4 1/2"" GWS 9-115 + 5 Discos Corte Recto 4 1/2""x7/8"" Bosch 0601.790.0E0-000",66940,https://www.toolmania.cl/esmeriles/kit-cyberday-esmeril-angular-4-1-2-gws-9-115disco-corte-recto-4-1-2x7-8-bosch-06017900e0-000-6269.html
Bosch Herramientas,"Kit Cyberday Esmeril Angular 7"" GWS 20-180 + 5 Discos Corte Recto 7""x7/8"" Bosch 0601.8B7.0N0-000",94940,https://www.toolmania.cl/esmeriles/kit-cyberday-esmeril-angular-7-gws-20-180-disco-corte-recto-7x7-8-bosch-06017920e0-000-6270.html
Bosch Herramientas,"Kit Cyberday Esmeril Angular 9"" GWS 20-230 + 5 Discos Corte Recto 9""x7/8"" Bosch 0601.8B8.0N0-000",92440,https://www.toolmania.cl/esmeriles/kit-cyberday-esmeril-angular-9-gws-20-230-disco-corte-recto-9x7-8-bosch-06018b80n0-000-6271.html
Bosch Herramientas,"Kit Cyberday Esmeril Angular 7"" GWS 22-180 + 5 Discos Corte Recto 7""x7/8"" Bosch 0601.8A1.0N0-000",116440,https://www.toolmania.cl/esmeriles/kit-cyberday-esmeril-angular-7-gws-22-180-disco-corte-recto-7x7-8-bosch-06018a10n0-000-6272.html
Bosch Herramientas,"Kit Cyberday Esmeril Angular 7"" GWS 22-180 D+ 5 Discos Corte Recto 7""x7/8"" Bosch 0601.8A1.1N0-000",116440,https://www.toolmania.cl/esmeriles/kit-cyberday-esmeril-angular-7-gws-22-180-d-disco-corte-recto-7x7-8-bosch-06018a11n0-000-6273.html
Bosch Herramientas,"Kit Cyberday Esmeril Angular 9"" GWS 22-230 + 5 Discos Corte Recto 9""x7/8"" Bosch 0601.8A2.0N0-000",113940,https://www.toolmania.cl/esmeriles/kit-cyberday-esmeril-angular-9-gws-22-230-disco-corte-recto-9x7-8-bosch-06018a20n0-000-6274.html
Bosch Herramientas,"Kit Cyberday Esmeril Angular 9"" GWS 22-230 D+ 5 Discos Corte Recto 9""x7/8"" Bosch 0601.8A2.1N0-000",113940,https://www.toolmania.cl/esmeriles/kit-cyberday-esmeril-angular-9-gws-22-230-d-disco-corte-recto-9x7-8-bosch-06018a21n0-000-6275.html
Bosch Herramientas,"Kit Cyberday Esmeril Angular 7"" GWS 24-180 + 5 Discos Corte Recto 7""x7/8"" Bosch 0601.8A3.0N0-000",134940,https://www.toolmania.cl/esmeriles/kit-cyberday-esmeril-angular-7-gws-24-180-disco-corte-recto-7x7-8-bosch-06018a30n0-000-6276.html
Bosch Herramientas,"Kit Cyberday Esmeril Angular 9"" GWS 24-230+ 5 Discos Corte Recto 9”x7/8” Bosch 0601.8A4.0N0-000",136440,https://www.toolmania.cl/esmeriles/kit-cyberday-esmeril-angular-9-gws-24-230-disco-corte-recto-9x7-8-bosch-06018a40n0-000-6277.html
Bosch Herramientas,"Kit Cyberday Esmeril Angular 7"" GWS 26-180 + 5 Discos Corte Recto 7""x7/8"" Bosch 0601.8A5.0N0-000",150940,https://www.toolmania.cl/esmeriles/kit-cyberday-esmeril-angular-7-gws-26-180-disco-corte-recto-7x7-8-bosch-06018a50n0-000-6278.html
Bosch Herramientas,"Kit Cyberday Esmeril Angular 9"" GWS 26-230 + 5 Discos Corte Recto 9”x 7/8” Bosch 0601.8A6.0N0-000",148440,https://www.toolmania.cl/esmeriles/kit-cyberday-esmeril-angular-9-gws-26-230-disco-corte-recto-9x-7-8-bosch-06018a60n0-000-6279.html
Bosch Herramientas,"Kit Cyberday Esmeril Angular 7"" GWS 24-180 LVI + 5 Discos Corte Recto 7""x7/8"" Bosch 0601.892.HN0-000",210440,https://www.toolmania.cl/esmeriles/kit-cyberday-esmeril-angular-7-gws-24-180-lvi-disco-corte-recto-7x7-8-bosch-0601892hn0-000-6280.html
Bosch Herramientas,"Kit Cyberday Esmeril Angular 9"" GWS 24-230 LVI + 5 Discos Corte Recto 9”x7/8” Bosch 0601.893.HN0-000",208440,https://www.toolmania.cl/esmeriles/kit-cyberday-esmeril-angular-9-gws-24-230-lvi-disco-corte-recto-9x7-8-bosch-0601893hn0-000-6281.html
Bosch Herramientas,"Kit Cyberday Esmeril Angular 7"" GWS 26-180 LVI+ 5 Discos Corte Recto 7""x7/8"" Bosch 0601.894.HN0-000",242940,https://www.toolmania.cl/esmeriles/kit-cyberday-esmeril-angular-7-gws-26-180-lvi-disco-corte-recto-7x7-8-bosch-0601894hn0-000-6282.html
Bosch Herramientas,Kit Cyberday Fresadora GKF 600 + Set PROMOLINE de fresas 6 pzs Bosch 0601.60A.0E0-000,119980,https://www.toolmania.cl/fresadoras/kit-cyberday-fresadora-gkf-600-set-promoline-de-fresas-6-pzs-bosch-060160a0e0-000-6283.html
Bosch Herramientas,Kit Cyberday Fresadora Electrónica Constante GOF 1600 CE+Set de Fresa 15 pzs Bosch 0601.624.0E0-000,375480,https://www.toolmania.cl/fresadoras/kit-cyberday-fresadora-electronica-constante-gof-1600-ceset-de-fresa-15-pzs-bosch-06016240e0-000-6285.html
Bosch Herramientas,"Kit Cyberday Sierra Ingleteadora 10"" GCM 10X+Disco de Sierra Circular ECO 10"" Bosch 0601.B15.0N0-000",316980,https://www.toolmania.cl/sierras-ingleteadoras/kit-cyberday-sierra-ingleteadora-10-gcm-10xdisco-de-sierra-circular-eco-10-bosch-0601b150n0-000-6286.html
Bosch Herramientas,"Kit Cyberday Sierra Ingleteadora 12"" GCM 12 X + Disco de Sierra Circular 12” Bosch 0601.B21.1N0-000",519980,https://www.toolmania.cl/sierras-ingleteadoras/kit-cyberday-sierra-ingleteadora-12-gcm-12-x-disco-de-sierra-circular-12-bosch-0601b211n0-000-6287.html
Bosch Herramientas,"Kit Cyberday Sierra Ingleteadora 12"" GCM 12 GDL+Disco de Sierra Circular 12” Bosch 0601.B23.6E0-000",694980,https://www.toolmania.cl/sierras-ingleteadoras/kit-cyberday-sierra-ingleteadora-12-gcm-12-gdldisco-de-sierra-circular-12-bosch-0601b236e0-000-6288.html
Bosch Herramientas,Kit Cyberday Lijadora Excéntrica 150mm GEX 125-150 AVE + Set 5 Discos de Lijas GR120 Bosch 0601.37B.1N0-000,183280,https://www.toolmania.cl/lijadoras/kit-cyberday-lijadora-excentrica-150mm-gex-125-150-avediscos-de-lijas-gr120-bosch-060137b1n0-000-6289.html
Bosch Herramientas,Kit Cyberday Lijadora de Banda 750W GBS 75 AE + Set 3 Lijas de Banda G120 Bosch 0601.274.750-000,193880,https://www.toolmania.cl/lijadoras/kit-cyberday-lijadora-de-banda-750w-gbs-75-ae-lija-de-banda-g120-bosch-0601274750-000-6290.html
Bosch Herramientas,Kit Cyberday Rotomartillo GBH 2-20+ Adaptador SDS-PLUS c/Mandril Bosch 0611.25A.6E0-000,133480,https://www.toolmania.cl/rotomartillos/kit-cyberday-martillo-perforador-gbh-2-20-adaptador-sds-plus-c-mandril-bosch-061125a6e0-000-6293.html
Bosch Herramientas,Kit Cyberday Rotomartillo GBH 2-20 D+Adaptador SDS-PLUS c/Mandril Bosch 0611.25A.4E1-000,134480,https://www.toolmania.cl/rotomartillos/kit-cyberday-martillo-perforador-gbh-2-20-dadaptador-sds-plus-c-mandril-bosch-061125a4e1-000-6294.html
Bosch Herramientas,Kit Cyberday Rotomartillo GBH 2-24 D+Adaptador SDS-PLUS c/Mandril Bosch 0611.2A0.0N0-000,173480,https://www.toolmania.cl/rotomartillos/kit-cyberday-martillo-perforador-gbh-2-24-dadaptador-sds-plus-c-mandril-bosch-06112a00n0-000-6295.html
Bosch Herramientas,Kit Cyberday Rotomartillo GBH 2-26 DRE+Adaptador SDS-PLUS c/Mandril Bosch 0611.253.7N0-000,200980,https://www.toolmania.cl/rotomartillos/kit-cyberday-martillo-perforador-gbh-2-26-dreadaptador-sds-plus-c-mandril-bosch-06112537n0-000-6296.html
Bosch Herramientas,Kit Cyberday Rotomartillo GBH 2-28 D+Adaptador SDS-PLUS c/Mandril Bosch 0611.267.3N0-000,214980,https://www.toolmania.cl/rotomartillos/kit-cyberday-martillo-perforador-gbh-2-28-dadaptador-sds-plus-c-mandril-bosch-06112673n0-000-6297.html
Bosch Herramientas,"Kit Cyberday Sierra de Banco GTS 10 J+ Disco de Sierra Circular ECO 10"" Bosch 0601.B30.5E0-000",608980,https://www.toolmania.cl/sierras-de-banco/kit-cyberday-sierra-de-banco-gts-10-j-disco-de-sierra-circular-eco-10-bosch-0601b305e0-000-6298.html
Bosch Herramientas,Kit Cyberday Sierra Sable 1100W GSA 1100 E + Set 5 Hojas de Sierra de Sable Bosch 0601.64C.8N0-000,170405,https://www.toolmania.cl/sierras-sable/kit-cyberday-sierra-sable-1100w-gsa-1100-e-hoja-de-sierra-de-sable-bosch-060164c8n0-000-6299.html
Bosch Herramientas,Kit Cyberday Sierra Caladora GST 700+Set c/8 hoja de Sierra de Calar Bosch 0601.2A7.0E0-000,75980,https://www.toolmania.cl/sierras-caladoras/kit-cyberday-sierra-caladora-gst-700set-c-8-hoja-de-sierra-de-calar-bosch-06012a70e0-000-6300.html
Bosch Herramientas,Kit Cyberday Sierra Caladora GST 75 E+Set c/8 hoja de Sierra de Calar Bosch 0601.58H.0N0-000,79480,https://www.toolmania.cl/sierras-caladoras/kit-cyberday-sierra-caladora-gst-75-eset-c-8-hoja-de-sierra-de-calar-bosch-060158h0n0-000-6301.html
