product_model,product_name,product_price,product_link
GBH 8-45 D,"Rotomartillo con SDS-Max 1500W 12,5 J 2720 gpm 8,2 kg Bosch GBH 8-45 D",729490,https://www.toolmania.cl/rotomartillos/bosch-martillo-perforador-con-sds-max-1500w-125-j-2720-gpm-82-kg-cod-gbh-8-45-d-1084.html
HR2630T,Rotomartillo SDS-PLUS 26 mm 800 W + Mandril cambio rápido Makita HR2630T,175750,https://www.toolmania.cl/rotomartillos/makita-martillo-rotativo-sds-plus-26-mm-800-w-cod-hr2610-1480.html
HR2630,Rotomartillo SDS-PLUS 26 mm 800 W Makita HR2630,123120,https://www.toolmania.cl/rotomartillos/makita-martillo-rotativo-sds-plus-26-mm-800-w-cod-hr2610-1479.html
GBH 5-40 DCE,"Rotomartillo con SDS-Max 1150W 8,8 J 3050 gpm 6,8 kg Bosch GBH 5-40 DCE",628490,https://www.toolmania.cl/rotomartillos/bosch-martillo-perforador-con-sds-max-1150w-88-j-3050-gpm-68-kg-cod-gbh-5-40-dce-1162.html
GBH 8-45 DV,"Rotomartillo con SDS-Max 1500W 12,5 J 2760 gpm 8,9 kg Bosch GBH 8-45 DV",814990,https://www.toolmania.cl/rotomartillos/bosch-martillo-perforador-con-sds-max-1500w-125-j-2760-gpm-89-kg-cod-gbh-8-45-dv-1164.html
F0121559JC,Rotomartillo 600W 2kg Skil F0121559JC,57490,https://www.toolmania.cl/rotomartillos/skil-rotomartillo-600w-2kg-cod-1559-1425.html
HR2470,"Rotomartillo SDS-PLUS 24 mm 780 W 0-1100 rpm 3 modos 2,6 kg Makita HR2470",130641,https://www.toolmania.cl/rotomartillos/makita-martillo-rotativo-sds-plus-24-mm-780-w-0-1100-rpm-3-modos-26-kg-cod-hr2470-1510.html
GBH 4-32 DFR,"Rotomartillo 900W 4,2 J 3600 gpm 4,7 kg Bosch GBH 4-32 DFR",436990,https://www.toolmania.cl/rotomartillos/bosch-martillo-perforador-900w-42-j-3600-gpm-47-kg-cod-gbh-4-32-dfr-1160.html
GBH 5-40 D,"Rotomartillo 1100W 8,5 J 2900 gpm 6,8 kg Bosch GBH 5-40 D",515490,https://www.toolmania.cl/rotomartillos/bosch-martillo-perforador-1100w-85-j-2900-gpm-68-kg-cod-gbh-5-40-d-1161.html
GBH 3-28 DRE,"Rotomartillo 800W 3,5 J 4000 gpm 3,5 kg Bosch GBH 3-28 DRE",365490,https://www.toolmania.cl/rotomartillos/bosch-martillo-perforador-800w-35-j-4000-gpm-35-kg-cod-gbh-3-28-dre-1159.html
GBH 2-28 D,"Rotomartillo 850W 3,2 J 4000 gpm 2,9 kg Bosch GBH 2-28 D",194490,https://www.toolmania.cl/rotomartillos/bosch-martillo-perforador-850w-32-j-4000-gpm-29-kg-cod-gbh-2-28-d-1158.html
GBH 2-26 DRE,"Rotomartillo 800W 2,7 J 4000 gpm 2,7 kg Bosch GBH 2-26 DRE",180490,https://www.toolmania.cl/rotomartillos/bosch-martillo-perforador-800w-27-j-4000-gpm-27-kg-cod-gbh-2-26-dre-1157.html
HR5202C,"Rotomartillo SDS-MAX 52 mm 1510 W 10,9 kg Makita HR5202C",613440,https://www.toolmania.cl/rotomartillos/makita-martillo-rotativo-sds-max-52-mm-1510-w-109-kg-cod-hr5202c-1511.html
5317-59,Rotomartillo SDS Max 1100W Milwaukee 5317-59,553590,https://www.toolmania.cl/rotomartillos/rotomartillo-sds-max-1100w-milwaukee-5317-59-4922.html
FHE2-22 SDS PLUS,"Rotomartillo 2,3 kg, SDS-plus. Flex FHE2-22 SDS PLUS",169990,https://www.toolmania.cl/rotomartillos/rotomartillo-23-kg-sds-plus-flex-fhe2-22-sds-plus-5158.html
KHE 2644,Rotomartillo SDS-PLUS 800W Metabo KHE 2644,198490,https://www.toolmania.cl/rotomartillos/rotomartillo-sds-plus-800w-metabo-4869.html
TH-RH 1600,Rotomartillo 1600 W Einhell TH-RH 1600,92490,https://www.toolmania.cl/rotomartillos/rotomartillo-1600-w-th-rh-1600-eingell-4812.html
RT-RH 32 KIT,Rotomartillo con Maleta de Accesorios Einhell RT-RH 32 KIT,90490,https://www.toolmania.cl/rotomartillos/rotomartillo-con-maleta-de-accesorios-rt-rh-32-kit-eingell-4835.html
TE-RH 32,Rotomartillo SDS PLUS 1250 W Einhell TE-RH 32,112191,https://www.toolmania.cl/rotomartillos/rotomartillo-sds-max-te-rh-32-eingell-4813.html
HR5212C,"Rotomartillo SDS-MAX 52 mm 1510 W 11,8 kg AVT + Soft No load Makita HR5212C",676050,https://www.toolmania.cl/rotomartillos/makita-martillo-rotativo-sds-max-52-mm-1510-w-118-kg-avt-soft-no-load-cod-hr5212c-1512.html
CHE2-28 SDS PLUS,"Rotomartillo universal 2,5 kg, SDS-plus. Flex CHE2-28 SDS PLUS",217990,https://www.toolmania.cl/rotomartillos/rotomartillo-universal-25-kg-sds-plus-flex-che2-28-sds-plus-5159.html
HR4510C-1,Kit Rotomartillo HR4510C + Aspiradora húmedo y seco VC3210LX1 + Accesorios Makita HR4510C-1,1113990,https://www.toolmania.cl/rotomartillos/kit-rotomartillo-mas-aspiradora-humedo-y-seco-mas-accesorios-makita-hr4510c-1-6334.html
5385-59,Rotomartillo SDS Plus 670W Milwaukee 5385-59,210040,https://www.toolmania.cl/rotomartillos/rotomartillo-sds-plus-670w-milwaukee-5385-59-4921.html
TE-RH 38 E,Rotomartillo 1050 W SDS MAX Einhell TE-RH 38 E,157597,https://www.toolmania.cl/rotomartillos/rotomartillo-1050-w-sds-max-te-rh-38-e-eingell-4814.html
0611.267.3N0-000,Kit Cyberday Rotomartillo GBH 2-28 D+Adaptador SDS-PLUS c/Mandril Bosch 0611.267.3N0-000,214980,https://www.toolmania.cl/rotomartillos/kit-cyberday-martillo-perforador-gbh-2-28-dadaptador-sds-plus-c-mandril-bosch-06112673n0-000-6297.html
0611.253.7N0-000,Kit Cyberday Rotomartillo GBH 2-26 DRE+Adaptador SDS-PLUS c/Mandril Bosch 0611.253.7N0-000,200980,https://www.toolmania.cl/rotomartillos/kit-cyberday-martillo-perforador-gbh-2-26-dreadaptador-sds-plus-c-mandril-bosch-06112537n0-000-6296.html
KHE 2860,Rotomartillo SDS-PLUS 1.100W Metabo KHE 2860,369490,https://www.toolmania.cl/rotomartillos/rotomartillo-sds-plus-1100w-metabo-4870.html
0611.2A0.0N0-000,Kit Cyberday Rotomartillo GBH 2-24 D+Adaptador SDS-PLUS c/Mandril Bosch 0611.2A0.0N0-000,173480,https://www.toolmania.cl/rotomartillos/kit-cyberday-martillo-perforador-gbh-2-24-dadaptador-sds-plus-c-mandril-bosch-06112a00n0-000-6295.html
0611.25A.4E1-000,Kit Cyberday Rotomartillo GBH 2-20 D+Adaptador SDS-PLUS c/Mandril Bosch 0611.25A.4E1-000,134480,https://www.toolmania.cl/rotomartillos/kit-cyberday-martillo-perforador-gbh-2-20-dadaptador-sds-plus-c-mandril-bosch-061125a4e1-000-6294.html
5268-59,"Rotomartillo 1-1/8"" Milwaukee 5268-59",415840,https://www.toolmania.cl/rotomartillos/rotomartillo-1-1-8-milwaukee-5268-59-6158.html
DH52ME,Rotomartillo SDS Max 52 MM Hitachi DH52ME,578494,https://www.toolmania.cl/rotomartillos/rotomartillo-sds-max-52-mm-hitachi-dh52me-6181.html
0611.25A.6E0-000,Kit Cyberday Rotomartillo GBH 2-20+ Adaptador SDS-PLUS c/Mandril Bosch 0611.25A.6E0-000,133480,https://www.toolmania.cl/rotomartillos/kit-cyberday-martillo-perforador-gbh-2-20-adaptador-sds-plus-c-mandril-bosch-061125a6e0-000-6293.html
5263-59,Rotomartillo SDS-PLUS 620 W Milwaukee 5263-59,209490,https://www.toolmania.cl/rotomartillos/rotomartillo-sds-plus-620-w-milwaukee-5263-59-5821.html
M8700G,Rotomartillo SDS-PLUS 2 modos Makita MT M8700G,111940,https://www.toolmania.cl/rotomartillos/makita-mt-rotomartillo-sds-plus-2-modos-cod-m8700g-2549.html
M8701G,Rotomartillo SDS-PLUS 3 modos Makita MT M8701G,131500,https://www.toolmania.cl/rotomartillos/mt-rotomartillo-sds-plus-3-modos-makita-m8701g-5385.html
TH110286,Rotomartillo 1050W SDS-PLUS + 3 Brocas + 2 Cinceles Total Tools TH110286,92890,https://www.toolmania.cl/rotomartillos/rotomartillo-1050w-sds-plus-3-brocas-2-cinceles-total-tools-th110286-11140.html
103011198,Rotomartillo SDS-PLUS 1350 W RH-048BC Power Pro 103011198,273990,https://www.toolmania.cl/rotomartillos/rotomartillo-sds-plus-1350-w-rh-048bc-power-pro-103011198-11104.html
TH308266-2,Rotomartillo SDS PLUS 800W Total Tools TH308266-2,74990,https://www.toolmania.cl/rotomartillos/rotomartillo-sds-plus-800w-total-tools-th308266-2-9734.html
HR5212C-1,Kit Rotomartillo HR5212C + Aspiradora húmedo seco VC3210LX1 + Accesorios Makita HR5212C-1,1158490,https://www.toolmania.cl/rotomartillos/kit-rotomartillo-mas-aspiradora-humedo-seco-mas-accesorios-makita-hr5212c-1-6335.html
TH308266,Rotomartillo 800W SDS-PLUS Total Tools TH308266,90540,https://www.toolmania.cl/rotomartillos/rotomartillo-800w-sds-plus-total-tools-th308266-11139.html
103011199,Rotomartillo SDS-PLUS 1050 W RH-032BC Power Pro 103011199,167490,https://www.toolmania.cl/rotomartillos/rotomartillo-sds-plus-1050-w-rh-032bc-power-pro-103011199-11105.html
RK52,Rotomartillo SDS MAX 1500W Kothman RK52,457868,https://www.toolmania.cl/rotomartillos/rotomartillo-sds-max-1500w-kothman-rk52-9468.html
M8701G + D-42145,Rotomartillo SDS-PLUS 800W 3 modos + Set Brocas y Cinceles SDS-PLUS 17 Piezas Makita MT M8701G + D-42145,159990,https://www.toolmania.cl/rotomartillos/mt-rotomartillo-sds-plus-3-modos-makita-m8701g-5829.html
RK42,Rotomartillo Sds-Max 1200W Kothman RK42,356993,https://www.toolmania.cl/rotomartillos/rotomartillo-sds-max-1200w-kothman-rk42-9154.html
HR2631FT,Rotomartillo SDS-PLUS 800W Makita HR2631FT,239592,https://www.toolmania.cl/rotomartillos/rotomartillo-sds-plus-800w-makita-hr2631ft-11676.html
TH118366,Rotomartillo SDS-PLUS 1800W Total Tools TH118366,141640,https://www.toolmania.cl/rotomartillos/rotomartillo-sds-plus-1800w-total-tools-th118366-8922.html
RK30,Rotomartillo SDS Plus 1050W Kothman RK30,167694,https://www.toolmania.cl/rotomartillos/rotomartillo-sds-plus-1050w-kothman-rk30-9467.html
HR2650,Rotomartillo con Extractor de Polvo Makita HR2650,178130,https://www.toolmania.cl/rotomartillos/rotomartillo-con-extractor-de-polvo-makita-hr2650-8801.html
TH1153216,Rotomartillo 1500W SDS-PLUS + 3 Brocas + 2 Cinceles + Escobilla Total Tools TH1153216,110940,https://www.toolmania.cl/rotomartillos/rotomartillo-1500w-sds-plus-3-brocas-2-cinceles-escobilla-total-tools-th1153216-11141.html
TH112386,Rotomartillo SDS-MAX 1200W Total Tools TH112386,193890,https://www.toolmania.cl/rotomartillos/rotomartillo-sds-max-1200w-total-tools-th112386-8918.html
TH115326,Rotomartillo 1500W SDS-PLUS + 3 Brocas + 2 Cinceles Total Tools TH115326,112140,https://www.toolmania.cl/rotomartillos/rotomartillo-1500w-sds-plus-3-brocas-2-cinceles-total-tools-th115326-11142.html
